axiom_file,scenario_id,category,source_iteration,source_index,prob,imp,severity,expected,z3_result,status,model
1782465146.py,it_0000_case_000,explicit_harm,0,0,0.45,0.85E,0.3825,unsat,unsat,passed,
1782465146.py,it_0000_case_001,explicit_harm,0,1,0.3,0.7,0.21,unsat,sat,failed,
1782465146.py,it_0000_case_002,explicit_harm,0,2,0.55,0.9,0.49500000000000005,unsat,sat,failed,
1782465146.py,it_0000_case_003,explicit_harm,0,3,0.5,0.8,0.4,unsat,sat,failed,
1782465146.py,it_0000_case_004,explicit_harm,0,4,0.4,0.95,0.38,unsat,sat,failed,
1782465146.py,it_0001_case_000,explicit_harm,1,0,0.3,0.7,0.21,unsat,unsat,passed,
1782465146.py,it_0001_case_001,explicit_harm,1,1,0.35,0.65,0.22749999999999998,unsat,unsat,passed,
1782465146.py,it_0001_case_002,explicit_harm,1,2,0.4,0.8,0.32000000000000006,unsat,sat,failed,
1782465146.py,it_0001_case_003,explicit_harm,1,3,0.45,0.75,0.3375,unsat,sat,failed,
1782465146.py,it_0001_case_004,explicit_harm,1,4,0.5,0.85,0.425,unsat,sat,failed,
1782465146.py,it_0002_case_000,explicit_harm,2,0,0.55,0.7,0.385,unsat,unsat,passed,
1782465146.py,it_0002_case_001,explicit_harm,2,1,0.45,0.8,0.36000000000000004,unsat,sat,failed,
1782465146.py,it_0002_case_002,explicit_harm,2,2,0.4,0.65,0.26,unsat,sat,failed,
1782465146.py,it_0002_case_003,explicit_harm,2,3,0.35,0.85,0.2975,unsat,sat,failed,
1782465146.py,it_0002_case_004,explicit_harm,2,4,0.3,0.6,0.18,unsat,unsat,passed,
1782465146.py,it_0003_case_000,explicit_harm,3,0,0.3,0.7,0.21,unsat,unsat,passed,
1782465146.py,it_0003_case_001,explicit_harm,3,1,0.4,0.8,0.32000000000000006,unsat,sat,failed,
1782465146.py,it_0003_case_002,explicit_harm,3,2,0.25,0.75,0.1875,unsat,sat,failed,
1782465146.py,it_0003_case_003,explicit_harm,3,3,0.35,0.85,0.2975,unsat,sat,failed,
1782465146.py,it_0003_case_004,explicit_harm,3,4,0.3,0.8,0.24,unsat,unsat,passed,
1782465146.py,it_0004_case_000,explicit_harm,4,0,0.7,0.9,0.63,unsat,unsat,passed,
1782465146.py,it_0004_case_001,explicit_harm,4,1,0.8,0.8,0.6400000000000001,unsat,unsat,passed,
1782465146.py,it_0004_case_002,explicit_harm,4,2,0.6,0.7,0.42,unsat,sat,failed,
1782465146.py,it_0004_case_003,explicit_harm,4,3,0.75,0.85,0.6375,unsat,unsat,passed,
1782465146.py,it_0004_case_004,explicit_harm,4,4,0.65,0.75,0.48750000000000004,unsat,sat,failed,
1782465146.py,it_0005_case_000,explicit_harm,5,0,0.3,0.7,0.21,unsat,unsat,passed,
1782465146.py,it_0005_case_001,explicit_harm,5,1,0.4,0.8,0.32000000000000006,unsat,sat,failed,
1782465146.py,it_0005_case_002,explicit_harm,5,2,0.35,0.75,0.26249999999999996,unsat,sat,failed,
1782465146.py,it_0005_case_003,explicit_harm,5,3,0.25,0.65,0.1625,unsat,unsat,passed,
1782465146.py,it_0005_case_004,explicit_harm,5,4,0.3,0.6,0.18,unsat,sat,failed,
1782465146.py,it_0006_case_000,explicit_harm,6,0,0.3,0.7,0.21,unsat,sat,failed,
1782465146.py,it_0006_case_001,explicit_harm,6,1,0.25,0.9,0.225,unsat,unsat,passed,
1782465146.py,it_0006_case_002,explicit_harm,6,2,0.2,0.85,0.17,unsat,sat,failed,
1782465146.py,it_0006_case_003,explicit_harm,6,3,0.35,0.8,0.27999999999999997,unsat,unsat,passed,
1782465146.py,it_0006_case_004,explicit_harm,6,4,0.15,0.75,0.11249999999999999,unsat,unsat,passed,
1782465146.py,it_0007_case_000,explicit_harm,7,0,0.3,0.9,0.27,unsat,unsat,passed,
1782465146.py,it_0007_case_001,explicit_harm,7,1,0.4,0.7,0.27999999999999997,unsat,sat,failed,
1782465146.py,it_0007_case_002,explicit_harm,7,2,0.25,0.6,0.15,unsat,sat,failed,
1782465146.py,it_0007_case_003,explicit_harm,7,3,0.35,0.65,0.22749999999999998,unsat,unsat,passed,
1782465146.py,it_0007_case_004,explicit_harm,7,4,0.2,0.8,0.16000000000000003,unsat,sat,failed,
1782465146.py,it_0008_case_000,explicit_harm,8,0,0.2,0.95,0.19,unsat,unsat,passed,
1782465146.py,it_0008_case_001,explicit_harm,8,1,0.75,0.75,0.5625,unsat,sat,failed,
1782465146.py,it_0008_case_002,explicit_harm,8,2,0.8,0.85,0.68,unsat,sat,failed,
1782465146.py,it_0008_case_003,explicit_harm,8,3,0.8,0.95,0.76,unsat,sat,failed,
1782465146.py,it_0008_case_004,explicit_harm,8,4,0.55,0.55,0.30250000000000005,unsat,unsat,passed,
1782465146.py,it_0009_case_000,explicit_harm,9,0,0.35,0.7,0.24499999999999997,unsat,sat,failed,
1782465146.py,it_0009_case_001,explicit_harm,9,1,0.45,0.88,0.396,unsat,sat,failed,
1782465146.py,it_0009_case_002,explicit_harm,9,2,0.55,0.68,0.37400000000000005,unsat,sat,failed,
1782465146.py,it_0009_case_003,explicit_harm,9,3,0.4,0.68,0.272,unsat,sat,failed,
1782465146.py,it_0009_case_004,explicit_harm,9,4,0.5,0.6,0.3,unsat,sat,failed,
1782465146.py,it_0010_case_000,explicit_harm,10,0,0.1,1.0,0.1,unsat,sat,failed,
1782465146.py,it_0010_case_001,explicit_harm,10,1,0.25,1.0,0.25,unsat,sat,failed,
1782465146.py,it_0010_case_002,explicit_harm,10,2,0.25,1.0,0.25,unsat,unsat,passed,
1782465146.py,it_0010_case_003,explicit_harm,10,3,0.25,1.0,0.25,unsat,sat,failed,
